Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,LIFE (in yrs)
2014,40929,Petrol,Manual,First,32.26,998,58.2,14.5
2013,54493,Petrol,Manual,Second,24.7,796,47.3,11
2017,34000,Diesel,Manual,First,13.68,2393,147.8,10
2012,139000,Diesel,Manual,First,23.59,1364,100,7
2014,29000,Petrol,Manual,First,18.5,1197,82.85,16
2016,85609,Diesel,Manual,Second,16,2179,140,8
2015,59000,Diesel,Automatic,First,12.55,2982,168.7,7
2013,65000,Petrol,Manual,First,21.1,814,55.2,11.5
2011,66000,Petrol,Manual,Second,17,1497,118,10
2015,54684,Diesel,Manual,First,15.1,2179,140,9
2012,78000,Diesel,Automatic,Second,12.8,1968,167.6,6
2016,21000,Petrol,Manual,First,18.9,1197,82,18.5
2007,90000,Petrol,Manual,Third,13.4,1794,125,9
2008,87628,Diesel,Manual,First,17.8,1248,75,8
2014,45000,Petrol,Manual,First,13.24,1598,102.5,14
2013,30788,Diesel,Automatic,First,17.05,1995,184,8
2015,39524,Diesel,Automatic,First,19.59,1995,184,8
2009,140000,Diesel,Manual,First,13.8,1399,68,7
2019,15409,Petrol,Automatic,First,22,1197,81.8,15
2015,36502,Petrol,Manual,First,17.5,1298,85.8,15
2016,200000,Diesel,Manual,First,23.2,1248,73.94,5.5
2010,70000,Petrol,Manual,First,18.06,1198,75,8.5
2017,36701,Petrol,Manual,First,24.7,796,47.3,15
2009,72000,Petrol,Manual,Second,17.5,989,74,9.5
2011,40000,Petrol,Manual,Second,15.5,1799,132,13
2005,47000,Petrol,Manual,Second,13.8,1299,70,11
2006,93500,Petrol,Manual,Second,19.7,796,46.3,8.5
2015,52000,Diesel,Manual,First,27.3,1498,98.6,8.5
2015,55429,Diesel,Automatic,Second,21.66,1498,103.52,6
2011,133000,Petrol,Manual,Second,17,1197,80,8.5
2014,70000,Diesel,Manual,Second,23.59,1364,67.06,8
2014,68000,Diesel,Manual,First,15.11,1598,103.6,9
2010,71000,Petrol,Manual,Second,19.81,1086,68.05,8.5
2012,121000,Diesel,Manual,First,10.5,2835,107.2,6
2015,107000,Diesel,Manual,First,23.4,1248,74,6.5
2015,51000,Petrol,Manual,First,19.1,1197,85.8,12.5
2017,13500,Petrol,Automatic,First,14.84,1598,103.52,14.5
2016,13000,Petrol,Manual,First,15.29,1591,121.3,19
2010,81000,Diesel,Manual,First,12.8,2494,102,8.5
2012,66889,Diesel,Automatic,First,22.48,1995,190,7.5
2018,32000,Diesel,Manual,First,27.39,1248,74,10
2013,87001,Diesel,Automatic,First,17.11,1968,174.33,7.5
2013,55000,Diesel,Automatic,Second,16.55,1968,140,9
2018,4000,Petrol,Manual,First,15.41,1598,103.52,19.5
2017,27778,Diesel,Manual,First,24.52,1248,88.5,11
2017,5000,Petrol,Manual,First,20.73,1373,91.1,19.5
2014,72000,Petrol,Manual,First,20.73,1373,91.1,11.5
2015,21000,Diesel,Automatic,First,20,2143,136,11
2015,59299,Diesel,Manual,First,12.99,2494,100.6,9.5
2014,75000,Diesel,Automatic,First,18.88,1995,184,6.5
2019,3413,Petrol,Manual,First,24.7,796,47.3,19.5
2014,62000,Diesel,Manual,First,22.7,1498,89.84,9
2010,105001,Diesel,Automatic,First,11.4,2953,153.86,5
2013,89000,Diesel,Automatic,First,14.16,1968,174.3,5
2014,21000,Petrol,Manual,First,17.01,1591,121.3,16.5
2014,50000,Diesel,Manual,First,15.1,2179,140,10.5
2016,70687,Diesel,Manual,First,24.3,1248,88.5,8.5
2016,104350,Diesel,Manual,First,23.59,1364,67.04,6.5
2011,150000,Diesel,Manual,Second,19.09,1396,69,5.5
2008,81000,Petrol,Manual,First,17.7,1497,78,10.5
2008,89000,Petrol,Manual,Second,14.53,1798,138.1,8.5
2017,35223,Petrol,Manual,First,18.9,1197,82,15
2015,48000,Petrol,Manual,First,18.6,1197,81.83,13
2015,60000,Diesel,Manual,First,20.14,1498,88.8,10.5
2018,7000,Petrol,Manual,First,23,998,67,19
2015,47572,Petrol,Manual,First,18.2,1199,82.5,13
2010,72727,Diesel,Manual,Second,15.4,2179,120,7.5
2018,4708,Diesel,Manual,First,21.66,1498,108.62,12.5
2009,55000,Petrol,Manual,Second,18.9,998,67.1,12
2013,44198,Petrol,Manual,Second,18.4,1198,86.8,13.5
2015,35000,Petrol,Manual,First,16.02,1373,93.7,14.5
2013,63831,Petrol,Manual,First,0,1086,62,13
2017,17540,Petrol,Manual,First,18.16,1196,86.8,18
2017,14000,Petrol,Automatic,First,23.84,1199,84,15
2007,47000,Petrol,Manual,Second,0,1086,62,13
2010,75422,Petrol,Manual,Second,18.6,1199,79.4,11
2011,67000,Diesel,Manual,Second,23.08,1461,63.1,8
2013,79999,Diesel,Manual,First,12.99,2494,100,8
2017,5044,Petrol,Manual,First,20.14,1197,81.86,19
2016,31601,Petrol,Manual,First,20.73,1373,91.1,14.5
2014,70000,Diesel,Automatic,First,18.12,1995,190,5.5
2016,16000,Petrol,Automatic,First,19.16,2487,175.67,13
2016,31700,Diesel,Manual,First,21.43,1364,87.2,11
2014,76969,Diesel,Manual,First,22.32,1582,126.32,8
2015,37000,Diesel,Automatic,First,21.21,1498,103.2,8.5
2014,23000,Petrol,Automatic,First,11.07,2496,179.5,13
2014,59098,Petrol,Manual,Second,17,1197,80,9.5
2010,142299,Petrol,Manual,First,13.07,1368,88.76,9
2011,75731,Diesel,Manual,First,20,1399,68,8.5
2017,69627,Petrol,Manual,First,18.6,1197,81.83,11
2011,49000,Petrol,Manual,First,15.3,1596,99.6,13.5
2015,25700,Petrol,Automatic,First,11.9,1595,120.7,13
2012,80800,Petrol,Manual,First,18.5,1197,82.85,10
2013,110896,Diesel,Manual,First,23.4,1248,74,7.5
2009,62261,Petrol,Manual,First,17.92,1086,62.1,14
2017,27610,Petrol,Manual,First,21.4,1197,83.1,14.5
2011,89219,Petrol,Manual,First,10.2,2354,180,12
2018,6700,Petrol,Automatic,First,19.34,1198,75.94,14.5
2011,51599,Petrol,Manual,First,19,998,67.1,14
2013,37489,Diesel,Manual,First,22.7,1582,126.24,11
2016,98000,Diesel,Manual,First,17.5,1396,70,7
2012,25183,Petrol,Manual,First,26,624,35,17
2015,52100,Diesel,Automatic,Second,18.12,1995,190,7
2014,60000,Diesel,Manual,First,25.8,1498,98.6,8.5
2013,51000,Diesel,Manual,First,22.07,1199,73.9,10
2012,70000,Diesel,Manual,First,22.3,1248,74,8.5
2015,95000,Diesel,Manual,First,17.32,1968,138.13,7
2014,66346,Diesel,Manual,First,26,1498,98.6,8.5
2015,69150,Diesel,Manual,First,25.8,1498,98.6,8.5
2016,31000,Petrol,Manual,First,18.6,1197,81.83,15
2013,49000,Diesel,Automatic,Second,18.12,1995,190,8.5
2014,63058,Petrol,Manual,First,19.4,1198,86.8,11
2016,22000,Diesel,Automatic,First,19.71,2143,201.15,11
2015,73026,Petrol,Manual,First,16.47,1198,74,11.5
2011,21762,Petrol,Automatic,Second,19.2,1197,80,13.5
2018,29738,Petrol,Manual,First,17.01,1591,121.3,13.5
2018,16053,Petrol,Manual,First,18.6,1197,81.83,17.5
2012,61665,Diesel,Automatic,First,16.73,2993,218,8
2015,51000,Diesel,Manual,First,19.3,1248,73.9,10
2016,34820,Diesel,Manual,First,21.9,1498,98.6,10.5
2018,12000,Petrol,Manual,First,17.5,1373,91.1,18
2017,32287,Diesel,Manual,First,26.59,1248,74,10.5
2012,121134,Diesel,Manual,First,23.59,1364,160,6.5
2015,74485,Diesel,Automatic,First,16.09,1995,184,5.5
2011,63000,Diesel,Manual,First,25.44,936,57.6,8.5
2018,53190,Diesel,Automatic,First,18.51,1968,147.51,8.5
2016,26900,Diesel,Automatic,First,12,2987,224,9.5
2015,40000,Diesel,Automatic,First,19.59,1995,184,8
2016,40587,Petrol,Manual,First,18.9,1197,82,10.5
2015,27000,Petrol,Manual,First,18.9,1197,82,16
2016,29108,Diesel,Manual,First,23.59,1364,67.04,10.5
2015,18000,Petrol,Manual,First,19.83,1198,67,18
2017,10500,Petrol,Manual,First,20.89,1197,81.8,18.5
2009,60000,Petrol,Manual,Third,19,998,66.1,9.5
2011,61000,Petrol,Automatic,Third,13.9,1799,130.3,8.5
2017,5000,Petrol,Manual,First,22.74,796,47.3,19.5
2018,24001,Diesel,Automatic,First,13.6,1999,177,11.5
2011,76000,Diesel,Manual,First,23,1396,90,9
2014,56000,Petrol,Manual,First,18.88,999,123.24,11.5
2016,30000,Petrol,Manual,First,18.15,1198,82,15
2017,44263,Diesel,Manual,First,24.3,1248,88.5,10.5
2011,97899,Diesel,Manual,First,20,1399,68,9.5
2011,157301,Diesel,Manual,Second,20.54,1598,103.6,5.5
2008,135000,Diesel,Manual,First,17.8,1399,107,5
2016,35000,Petrol,Manual,Second,14.4,1368,88.8,11
2009,106000,Petrol,Manual,First,13.5,1799,130,13
2016,121590,Diesel,Manual,First,18,2000,148,5.5
2012,64692,Petrol,Manual,First,22.5,998,67.04,11
2010,41000,Petrol,Manual,First,20.36,1197,78.9,15
2018,25143,Diesel,Automatic,First,22,1498,108.495,10.5
2011,51000,Diesel,Manual,First,20.54,1598,103.6,8.5
2005,109000,Diesel,Manual,Second,13.1,1493,82,6
2015,69062,Diesel,Manual,First,22.7,1498,89.84,8.5
2015,34386,Diesel,Automatic,First,16.36,2179,187.7,8
2016,20185,Petrol,Manual,First,21.4,1197,83.1,17
2013,41585,Diesel,Manual,First,24,1120,70,10
2011,24000,Petrol,Manual,First,21.1,814,55.2,17.5
2016,40000,Diesel,Automatic,First,15,2143,204,8.5
2012,37000,Diesel,Automatic,First,0,2987,165,10
2015,67630,Diesel,Manual,First,23,1498,98.96,8.5
2016,24192,Petrol,Automatic,First,23.1,998,67.04,14.5
2017,32248,Diesel,Manual,First,24.3,1248,88.5,10
2013,28000,Diesel,Manual,First,13,2179,120,10.5
2018,36471,Petrol,Automatic,First,14.8,1591,121.3,11.5
2015,69689,Petrol,Manual,First,17.3,1497,117.3,10.5
2015,69095,Diesel,Automatic,First,11.3,2987,254.8,5
2010,46000,Petrol,Manual,First,18.5,1197,80,14
2008,65000,Petrol,Automatic,Third,10.13,3498,364.9,9
2015,119258,Diesel,Manual,First,20.64,1498,108.5,5.5
2015,38339,Diesel,Automatic,First,13,2143,201.1,8.5
2012,59503,Petrol,Manual,First,16.78,1496,88.73,11
2010,93600,Diesel,Manual,Third,17,1405,71,9
2011,58865,Petrol,Manual,First,14.3,1798,160,11
2012,64631,Petrol,Manual,First,19.7,796,46.3,11
2007,124298,Diesel,Manual,Second,17,1896,105,5.5
2003,50000,Petrol,Manual,Second,18.9,998,67.1,10.5
2013,40001,Diesel,Manual,First,21.64,1461,84.8,10
2015,62659,Petrol,Manual,First,19.4,1198,86.8,11
2014,68138,Petrol,Manual,First,20.36,1197,78.9,11
2014,34000,Diesel,Automatic,First,15.26,2143,203.2,8
2013,67000,Petrol,Manual,First,15.04,1598,103.6,11
2015,64141,Diesel,Manual,First,24.2,1498,98.6,9
2019,1000,Petrol,Manual,First,24.7,796,47.3,20
2013,42000,Diesel,Automatic,First,13,2143,201.1,8
2009,76677,Petrol,Manual,Third,16.9,1497,100,9.5
2013,66848,Diesel,Automatic,First,11.8,2967,246.7,5.5
2007,78000,Petrol,Manual,First,0,1086,62,10.5
2010,111166,Diesel,Manual,First,19.3,1248,73.9,5.5
2007,76000,Diesel,Manual,First,18.1,1493,110,9
2012,94049,Diesel,Automatic,First,12.8,1968,167.6,5
2014,47000,Diesel,Automatic,First,17.05,1995,184,8
2006,140000,Diesel,Manual,Second,13.5,1405,107,6
2015,20047,Petrol,Manual,First,23.9,624,37.48,17.5
2017,16000,Diesel,Automatic,First,16.77,2993,261.49,12
2012,27000,Petrol,Manual,First,18.5,1198,86.8,15.5
2018,1001,Petrol,Manual,First,24.7,796,47.3,19.5
2010,89312,Petrol,Manual,First,17,1197,80,10.5
1996,65000,Diesel,Manual,Second,14.1,1995,107.45,7
2012,93000,Diesel,Manual,Second,19.01,1461,108.45,7
2013,48000,Diesel,Manual,First,23.4,1248,74,10
2014,64917,Diesel,Manual,First,28.4,1248,73.75,8.5
2017,19678,Petrol,Manual,First,17.8,1497,117.3,18
2014,12000,Diesel,Automatic,First,14.74,2993,270.9,11
2014,41309,Diesel,Automatic,First,18.88,1995,184,8.5
2018,25038,Diesel,Automatic,First,21.76,1995,190,9.5
2016,68673,Diesel,Manual,First,25.44,936,56.3,8.5
2018,26343,Diesel,Automatic,First,19.27,2143,167.62,9.5
2005,81245,Petrol,Manual,Third,16.8,796,34.2,8.5
2012,62100,Diesel,Manual,First,23.08,1461,63.1,10.5
2013,104000,Petrol,Manual,First,15.04,1598,103.6,10.5
2014,114831,Diesel,Automatic,First,17.68,1968,174.33,4.5
2010,46000,Petrol,Manual,First,14.6,1368,88.7,15.5
2014,80000,Diesel,Manual,First,22.32,1582,126.32,8
2016,9201,Petrol,Manual,First,17.19,1197,81.86,18.5
2013,55311,Petrol,Manual,First,19.4,1198,86.8,10.5
2015,58217,Diesel,Manual,First,24.5,1498,98.6,9
2013,70655,Diesel,Manual,First,13.5,2477,175.56,8
2015,46000,Petrol,Manual,First,20.36,1197,78.9,12
2014,125000,Diesel,Manual,First,21.02,1248,88.8,5.5
2014,59000,Diesel,Manual,First,19.01,1461,108.45,9
2013,66000,Diesel,Automatic,Second,22,1582,126.2,5.5
2009,82242,Diesel,Manual,First,21.1,1248,73.9,9
2012,107281,Diesel,Manual,First,12.8,2494,102,5.5
2015,196000,Diesel,Manual,Second,12.2,1948,68,4
2015,75000,Diesel,Automatic,First,15.17,1968,181,5
2011,11791,Petrol,Manual,First,16.2,1172,68,18.5
2013,46000,Petrol,Manual,First,16.3,1797,147.5,12
2011,81000,Diesel,Manual,Second,22.07,1199,73.9,8
2015,46950,Petrol,Manual,First,17.71,1197,78.8,12
2017,18000,Petrol,Manual,First,18.9,1197,82,18
2016,95942,Diesel,Manual,First,15.4,2179,120,8
2016,42925,Petrol,Manual,First,20.73,1373,91.1,12
2014,33750,Petrol,Manual,First,15.6,1196,70.02,14.5
2016,14000,Petrol,Automatic,First,13.6,1598,181,14.5
2015,29000,Diesel,Manual,First,19.67,1582,126.2,10.5
2015,67365,Diesel,Manual,First,15.1,2179,140,8.5
2014,67791,Diesel,Manual,First,15.1,2179,140,8.5
2016,20000,Diesel,Manual,First,16.55,2498,105,10.5
2011,90198,Diesel,Manual,Second,19.3,1248,73.9,8
2010,77000,Petrol,Manual,First,19.81,1086,68.05,11
2017,42520,Petrol,Manual,First,20.73,1373,91.1,13.5
2009,87829,Petrol,Manual,First,17.3,1061,57.5,10.5
2017,21701,Petrol,Automatic,First,21.4,1197,83.1,14
2008,86033,Petrol,Manual,First,19.7,796,46.3,10.5
2015,25000,Petrol,Manual,First,19.1,1197,81.86,15
2011,45000,Diesel,Manual,First,21.43,1364,87.2,10.5
2018,22987,Petrol,Manual,First,16.47,1198,73.9,15
2009,48725,Petrol,Manual,First,19.81,1086,68.05,11.5
2013,42500,Petrol,Manual,First,18.9,1197,81.86,11.5
2014,35000,Petrol,Automatic,First,17.1,1591,121.4,10.5
2014,56000,Diesel,Manual,Second,17.8,1399,68,10
2014,10000,Diesel,Manual,First,13.49,2179,138.03,11
2010,15669,Petrol,Manual,First,20.92,998,67.1,18
2016,55331,Diesel,Automatic,First,17.68,1968,174.33,8
2015,44535,Diesel,Manual,First,20.46,1461,83.8,10.5
2012,74000,Diesel,Manual,First,16.55,2498,105,8.5
2014,77901,Diesel,Manual,First,12.99,2494,100.6,8.5
2010,58186,Petrol,Manual,First,17.5,1298,85.8,10.5
2010,30000,Petrol,Manual,First,14.2,1598,102,14.5
2012,90000,Diesel,Manual,First,23.59,1364,179,8.5
2018,14730,Petrol,Automatic,First,13.5,1999,246.74,14.5
2013,40000,Petrol,Manual,Second,19.7,796,46.3,14
2007,88107,Petrol,Manual,Second,15.26,1150,74.9,8
2012,53226,Diesel,Manual,Second,20.64,1498,108.5,8.5
2013,76000,Diesel,Manual,First,25.2,1248,74,8.5
2008,200000,Diesel,Manual,Second,12.8,2494,102,4.5
2013,73000,Diesel,Automatic,First,14.21,2143,203,7.5
2009,77200,Petrol,Manual,Second,13.2,1495,94,8.5
2012,67000,Diesel,Automatic,Second,15.2,1968,140.8,7.5
2005,150000,Diesel,Manual,Second,14.8,2499,80,4.5
2009,145278,Diesel,Manual,Second,11.68,2498,112,4.5
2015,62083,Diesel,Manual,First,21.19,1396,88.76,8.5
2010,61696,Petrol,Manual,First,13.5,1799,130,10.5
2017,28000,Diesel,Manual,First,23,1498,98.96,10.5
2013,50142,Diesel,Automatic,First,14.84,2143,170,8
2014,45000,Petrol,Automatic,First,13.7,1798,157.75,10
2014,97513,Diesel,Manual,First,21.14,1498,103.52,8
2011,55000,Petrol,Automatic,Second,12.3,1796,185,10
2004,82000,Petrol,Manual,Second,16.1,796,37,8.5
2013,71501,Diesel,Manual,First,22.9,1248,74,9
2017,23000,Diesel,Manual,First,21.9,1498,98.6,11
2015,66095,Diesel,Automatic,First,17.68,1968,174.33,7.5
2014,49500,Diesel,Manual,First,11.5,2982,171,10
2009,90000,Petrol,Manual,First,13.4,2362,164.7,10
2017,25384,Petrol,Manual,First,20.89,1197,81.8,15
2016,27529,Petrol,Manual,Second,17.01,1591,121.3,15
2012,69297,Petrol,Manual,First,16.8,1497,116.3,11
2009,66000,Petrol,Manual,First,17,1497,118,11
2012,20000,Diesel,Manual,First,21.03,1461,65,11
2015,67000,Diesel,Automatic,First,11.3,2987,254.8,7.5
2015,36933,Petrol,Manual,First,21.1,814,55.2,14
2007,194000,Diesel,Manual,First,12.99,2494,100.6,4.5
2013,42200,Diesel,Manual,First,20.77,1248,88.76,10.5
2015,53093,Diesel,Automatic,Second,12.07,2967,241.4,8
2012,88000,Petrol,Manual,Third,17,1497,118,8
2017,42954,Petrol,Manual,First,24.07,998,67.1,13.5
2015,106000,Diesel,Manual,First,25,1396,69,6.5
2015,41700,Diesel,Automatic,First,18.12,1995,190,8
2018,34464,Diesel,Automatic,First,19.27,2143,170,10
2010,15000,Petrol,Manual,First,17.8,1199,76.8,16.5
2010,70000,Petrol,Manual,Second,19,998,67.1,10
